Order_ID,Order_Date,Region,City,Segment,Channel,Category,Subcategory,Product_ID,Customer_ID,Quantity,Unit_Price,Discount,Revenue,Cost,Profit,Profit_Margin,Year,Month,Month_Name,Quarter
SO00001,2025-05-10,North,Jaipur,Consumer,Online,Office Supplies,Paper,P10064,C1386,8,660.99,0.195,4256.91,2438.45,1818.46,0.42717839935540103,2025,5,May,Q2
SO00002,2025-08-13,North,Jaipur,Consumer,Online,Technology,Laptops,P10051,C1485,10,20343.11,0.22,158677.27,104479.57,54197.71,0.3415593802439379,2025,8,Aug,Q3
SO00003,2024-10-08,North,Chandigarh,Home Office,Retail Store,Technology,Printers,P10004,C1562,9,27142.67,0.1125,216801.31,146752.89,70048.41,0.32309956983193505,2024,10,Oct,Q4
SO00004,2025-10-22,East,Bhubaneswar,Consumer,Distributor,Technology,Printers,P10085,C1296,2,26609.43,0.1575,44837.87,26559.88,18277.99,0.4076462597353532,2025,10,Oct,Q4
SO00005,2024-12-20,West,Surat,Consumer,Online,Furniture,Storage,P10011,C1063,9,6349.28,0.381,35372.23,23292.43,12079.8,0.3415051864131834,2024,12,Dec,Q4
SO00006,2024-08-15,West,Mumbai,Consumer,Online,Office Supplies,Pens,P10065,C1547,7,854.58,0.2905,4244.52,2247.15,1997.37,0.47057617822509956,2024,8,Aug,Q3
SO00007,2024-09-04,Central,Nagpur,Corporate,Retail Store,Office Supplies,Paper,P10004,C1096,9,733.98,0.2504,4951.68,2846.7,2104.98,0.4251042070569988,2024,9,Sep,Q3
SO00008,2024-04-29,South,Hyderabad,Consumer,Distributor,Furniture,Bookcases,P10092,C1331,3,9778.69,0.4722,15484.26,11738.57,3745.69,0.24190306801874936,2024,4,Apr,Q2
SO00009,2023-07-09,North,Jaipur,Consumer,Online,Technology,Laptops,P10032,C1374,7,22838.28,0.1594,134379.61,94222.92,40156.69,0.2988302317591189,2023,7,Jul,Q3
SO00010,2024-03-17,Central,Raipur,Corporate,Online,Technology,Laptops,P10068,C1416,1,19084.34,0.1665,15906.66,11261.29,4645.37,0.2920393093207499,2024,3,Mar,Q1
SO00011,2023-07-22,South,Chennai,Consumer,Retail Store,Technology,Laptops,P10090,C1403,6,16187.77,0.3086,67154.52,42610.66,24543.86,0.3654833658255617,2023,7,Jul,Q3
SO00012,2023-05-27,South,Chennai,Corporate,Online,Technology,Phones,P10002,C1572,8,19437.45,0.1209,136700.71,82650.77,54049.94,0.3953888754491473,2023,5,May,Q2
SO00013,2025-06-15,North,Delhi,Home Office,Online,Office Supplies,Paper,P10038,C1420,3,1120.36,0.247,2530.82,1442.05,1088.76,0.43020048837926045,2025,6,Jun,Q2
SO00014,2023-04-14,West,Pune,Home Office,Distributor,Technology,Laptops,P10007,C1392,2,2995.58,0.2039,4769.56,3214.02,1555.53,0.32613700215533503,2023,4,Apr,Q2
SO00015,2024-02-05,South,Chennai,Consumer,Online,Furniture,Bookcases,P10069,C1481,6,8470.82,0.5496,22891.37,15608.91,7282.46,0.31813124334629167,2024,2,Feb,Q1
SO00016,2025-10-16,West,Surat,Corporate,Online,Technology,Accessories,P10063,C1116,5,24159.67,0.2706,88110.38,50444.05,37666.34,0.42749038195045796,2025,10,Oct,Q4
SO00017,2023-09-10,South,Chennai,Consumer,Online,Office Supplies,Envelopes,P10033,C1104,6,1070.12,0.4747,3372.9,1782.8,1590.1,0.4714340775000741,2023,9,Sep,Q3
